,Series Name,Description,Frequency,Start,End
9362,FR102090005.A,Nonfinancial corporate business; net worth,A,12-31-1946,12-31-2013
9363,FA784022605.Q,Private depository institutions and money market mutual funds; long-term debt securities; asset,Q,12-31-1946,09-30-2014
9364,FR523081205.A,Insurance companies; mutual fund and money market fund shares; asset ,A,12-31-1946,12-31-2013
9365,FA153052205.A,Households and nonprofit organizations; life insurance and annuity entitlements; asset (IMA),A,12-31-1946,12-31-2013
9366,FR165000005.Q,Nonprofit organizations; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
9367,FU704041005.Q,Private depository institutions; short-term loans including security repurchase agreements; asset,Q,12-31-1946,09-30-2014
9368,FL543077073.Q,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",Q,12-31-1945,09-30-2014
9369,FL112090205.Q,Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth),Q,12-31-1945,09-30-2014
9370,FA103190005.Q,Nonfinancial corporate business; total miscellaneous liabilities,Q,12-31-1946,09-30-2014
9371,FA206404001.Q,State and local governments; social contributions paid ,Q,12-31-1946,09-30-2014
9372,FU010000066.Q,Financial soundness indicator; liquid assets as a percent of short-term liabilties,Q,12-31-2009,09-30-2014
9373,FU753193005.A,"Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous liability",A,12-31-1946,12-31-2013
9374,FU633061120.Q,"Money market mutual funds; Other Treasury securities, excluding Treasury bills; asset",Q,12-31-1946,09-30-2014
9375,FA633061700.Q,Money market mutual funds; agency- and GSE-backed securities; asset,Q,12-31-1946,09-30-2014
9376,FA153081005.A,Households and nonprofit organizations; equity and investment fund shares; asset (IMA),A,12-31-1946,12-31-2013
9377,FU104022005.A,Nonfinancial corporate business; debt securities; asset,A,12-31-1946,12-31-2013
9378,FU513192003.Q,Property-casualty insurance companies; foreign direct investment in U.S.; liability,Q,12-31-1946,09-30-2014
9379,FU383065005.Q,Domestic nonfinancial sectors; total mortgages; asset,Q,12-31-1946,09-30-2014
9380,FR763061795.Q,"U.S.-chartered depository institutions; agency- and GSE-backed securities, excluding MBS and CMOs; asset",Q,12-31-1946,09-30-2014
9381,FA893065405.A,All sectors; multifamily residential mortgages; asset,A,12-31-1946,12-31-2013
9382,FA316130001.A,Federal government; interest paid (IMA),A,12-31-1946,12-31-2013
9383,FU793181205.A,Financial business; mutual fund and money market fund shares; liability ,A,12-31-1946,12-31-2013
9384,FA883052005.A,"All domestic sectors; insurance, pension and standardized guarantee schemes; asset",A,12-31-1946,12-31-2013
9385,FU103090005.A,Nonfinancial corporate business; total miscellaneous assets,A,12-31-1946,12-31-2013
9386,FR403069105.Q,Government-sponsored enterprises; commercial paper; asset,Q,12-31-1946,09-30-2014
9387,FU896020001.Q,All sectors; wages and salaries paid (IMA),Q,12-31-1946,09-30-2014
9388,FL213081205.Q,"State and local governments, excluding employee retirement funds; Mutual fund and money market fund shares; asset",Q,12-31-1945,09-30-2014
9389,FA673066000.Q,Issuers of asset-backed securities; consumer credit; asset,Q,12-31-1946,09-30-2014
9390,FA115013085.Q,Nonfinancial noncorporate business; nonresidential gross fixed capital formation ,Q,12-31-1946,09-30-2014
9391,FA523064205.Q,Insurance companies; mutual fund shares; asset,Q,12-31-1946,09-30-2014
9392,FA796025005.A,Financial business; compensation of employees paid (IMA),A,12-31-1946,12-31-2013
9393,FA796060005.A,Financial business; corporate profits before tax excluding IVA and CCAdj,A,12-31-1946,12-31-2013
9394,FR613194733.Q,Finance companies; net transactions due to holding companies; liability,Q,12-31-1946,09-30-2014
9395,FR632050000.A,Money market mutual funds; federal funds and security repurchase agreements; asset,A,12-31-1946,12-31-2013
9396,FR115013765.A,"Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis",A,12-31-1946,12-31-2013
9397,FL633030205.A,Money market mutual funds; other deposits including time and savings deposits; asset (IMA),A,12-31-1945,12-31-2013
9398,FR573065005.A,Private pension funds; total mortgages; asset,A,12-31-1946,12-31-2013
9399,FL583081205.A,Insurance companies and pension funds; mutual fund and money market fund shares; asset ,A,12-31-1945,12-31-2013
9400,FR634000005.A,Money market mutual funds; total currency and deposits; asset ,A,12-31-1946,12-31-2013
9401,FU096060035.Q,Corporate business; corporate profits before tax including IVA and CCAdj,Q,12-31-1946,09-30-2014
9402,FR316231061.A,Federal government; taxes from the rest of the world,A,12-31-1949,12-31-1951
9403,FU223090045.A,State and local government employee defined benefit retirement funds; miscellaneous assets,A,12-31-1946,12-31-2013
9404,FA223064145.A,State and local government employee defined benefit retirement funds; corporate equities; asset,A,12-31-1946,12-31-2013
9405,FR743193005.Q,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,Q,12-31-1946,09-30-2014
9406,FU583065005.A,Insurance companies and pension funds; total mortgages; asset,A,12-31-1946,12-31-2013
9407,FL713064103.A,Monetary authority; corporate equities; asset,A,12-31-1945,12-31-2013
9408,FU172010005.Q,Personal sector; nonfinancial assets,Q,12-31-1946,09-30-2014
9409,FL263064203.A,Rest of the world; U.S. mutual fund shares; asset,A,12-31-1945,12-31-2013
9410,FA664090005.A,Security brokers and dealers; total financial assets ,A,12-31-1946,12-31-2013
9411,FA105005305.A,Nonfinancial corporate business; capital expenditures less the sum of U.S. internal funds and IVA (financing gap),A,12-31-1946,12-31-2013
9412,FU753193003.A,Foreign banking offices in the U.S.; unidentified miscellaneous liabilities,A,12-31-1946,12-31-2013
9413,FA315012065.A,"Federal government; gross fixed investment, residential structures",A,12-31-1946,12-31-2013
9414,FA315013005.A,"Federal government; gross fixed investment, nonresidential structures, equipment, and intellectual property products",A,12-31-1946,12-31-2013
9415,FR753062003.Q,Foreign banking offices in the U.S.; municipal securities and loans; asset,Q,12-31-1946,09-30-2014
9416,FR753063005.Q,"Foreign banking offices in the U.S., including IBFs; corporate and foreign bonds; asset",Q,12-31-1946,09-30-2014
9417,FR403069305.Q,"Government-sponsored enterprises; FHLB, Farm Credit System, and Sallie Mae loans; asset",Q,12-31-1946,09-30-2014
9418,FR653064100.A,Mutual funds; corporate equities; asset,A,12-31-1946,12-31-2013
9419,FL753067003.A,Foreign banking offices in the U.S.; security credit; asset,A,12-31-1945,12-31-2013
9420,FL753068005.A,Foreign banking offices in the U.S.; depository institution loans n.e.c.; asset,A,12-31-1945,12-31-2013
9421,FA213065403.A,"State and local governments, excluding employee retirement funds; multifamily residential mortgages; asset",A,12-31-1946,12-31-2013
9422,FR363081115.Q,General government (consolidated); other equity; asset (IMA) ,Q,12-31-1946,09-30-2014
9423,FA115013005.Q,"Nonfinancial noncorporate business; gross fixed investment, nonresidential structures, equipment, and intellectual property products ",Q,12-31-1946,09-30-2014
9424,FU616000105.A,Finance companies; gross saving including foreign earnings retained abroad and CCAdj,A,12-31-1946,12-31-2013
9425,FU264000005.Q,Rest of the world; total currency and deposits; asset,Q,12-31-1946,09-30-2014
9426,FU264004005.A,Rest of the world; credit market instruments; asset,A,12-31-1946,12-31-2013
9427,FR785000005.Q,Private depository institutions and money market mutual funds; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
9428,FR792010095.A,Financial business; nonfinancial assets (does not include land),A,12-31-1946,12-31-2013
9429,FA267005005.Q,Rest of the world; sector discrepancy (FOF basis),Q,12-31-1946,09-30-2014
9430,FU313064105.Q,Federal government; corporate equities; asset,Q,12-31-1946,09-30-2014
9431,FA315013265.A,"Federal government; nonresidential equipment, current cost basis",A,12-31-1946,12-31-2013
9432,FA315013265.Q,"Federal government; nonresidential equipment, current cost basis",Q,12-31-1946,09-30-2014
9433,FU404104005.Q,Government-sponsored enterprises; credit market instruments; liability,Q,12-31-1946,09-30-2014
9434,FU153168005.Q,Households and nonprofit organizations; depository institution loans n.e.c.; liability ,Q,12-31-1946,09-30-2014
9435,FU543069183.Q,"Life insurance companies, separate accounts; commercial paper; asset",Q,12-31-1946,09-30-2014
9436,FU205400033.Q,"State and local governments; capital transfers received, investment grants from federal government",Q,12-31-1946,09-30-2014
9437,FU643165483.Q,Equity real estate investment trusts; multifamily residential mortgages; liability,Q,12-31-1946,09-30-2014
9438,FR883130205.A,All domestic sectors; other deposits including time and savings deposits; liabilty (IMA),A,12-31-1946,12-31-2013
9439,FV312010095.Q,Federal government; nonfinancial assets (does not include land),Q,12-31-1946,09-30-2014
9440,FU385090005.Q,Domestic nonfinancial sectors; gross investment,Q,12-31-1946,09-30-2014
9441,FR212090095.A,"State and local governments, excluding employee retirement funds; net worth (IMA)",A,12-31-1946,12-31-2010
9442,FA713124003.A,Monetary authority; checkable deposits due to government-sponsored enterprises; liability,A,12-31-1946,12-31-2013
9443,FR662090205.A,Security brokers and dealers; proprietors' equity in noncorporate business,A,12-31-1946,12-31-2013
9444,FR764110005.A,U.S.-chartered depository institutions; net interbank transactions; liability,A,12-31-1946,12-31-2013
9445,FL893065405.Q,All sectors; multifamily residential mortgages; asset,Q,12-31-1945,09-30-2014
9446,FA364122015.A,General government (unconsolidated); debt securities; liability,A,12-31-1946,12-31-2013
9447,FR402050005.A,Government-sponsored enterprises; federal funds and security repurchase agreements; asset,A,12-31-1946,12-31-2013
9448,FL773081115.Q,Captive financial institutions and money lenders; other equity; asset (IMA),Q,12-31-1945,09-30-2014
9449,FR214004005.A,"State and local governments, excluding employee retirement funds; credit market instruments; asset",A,12-31-1946,12-31-2013
9450,FA893061705.A,All sectors; agency- and GSE-backed securities; asset,A,12-31-1946,12-31-2013
9451,FU113030003.Q,Nonfinancial noncorporate business; total time and savings deposits; asset,Q,12-31-1946,09-30-2014
9452,FU113034003.A,Nonfinancial noncorporate business; money market mutual fund shares; asset,A,12-31-1946,12-31-2013
9453,FU633061120.A,"Money market mutual funds; Other Treasury securities, excluding Treasury bills; asset",A,12-31-1946,12-31-2013
9454,FA473066000.A,Credit unions; consumer credit; asset,A,12-31-1946,12-31-2013
9455,FU403169283.Q,Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability,Q,12-31-1946,09-30-2014
9456,FU403190005.A,Government-sponsored enterprises; total miscellaneous liabilities,A,12-31-1946,12-31-2013
9457,FU263192323.A,"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. affiliates' claims; liability",A,12-31-1982,12-31-2013
9458,FR793120205.A,Financial business; currency including checkable deposits; liability (IMA),A,12-31-1946,12-31-2013
9459,FA113090005.A,Nonfinancial noncorporate business; total miscellaneous assets,A,12-31-1946,12-31-2013
9460,FA113090005.Q,Nonfinancial noncorporate business; total miscellaneous assets,Q,12-31-1946,09-30-2014
9461,FL713120005.Q,Monetary authority; checkable deposits and currency; liability,Q,12-31-1945,09-30-2014
9462,FU113020005.A,Nonfinancial noncorporate business; checkable deposits and currency; asset ,A,12-31-1946,12-31-2013
9463,FU113061003.Q,Nonfinancial noncorporate business; total U.S. government securities; asset,Q,12-31-1946,09-30-2014
9464,FA633061700.A,Money market mutual funds; agency- and GSE-backed securities; asset,A,12-31-1946,12-31-2013
9465,FA473065100.Q,Credit unions; home mortgages; asset,Q,12-31-1946,09-30-2014
9466,FA473069153.A,Credit unions; commercial paper held by Corporate Credit Unions; asset,A,12-31-1946,12-31-2013
9467,FU423161705.A,Government-sponsored enterprises and federally related mortgage pools; U.S. government agency securities; liability,A,12-31-1946,12-31-2013
9468,FU104022005.Q,Nonfinancial corporate business; debt securities; asset,Q,12-31-1946,09-30-2014
9469,FU403192405.Q,Government-sponsored enterprises; equity in government-sponsored enterprises (GSEs); liability,Q,12-31-1946,09-30-2014
9470,FU383066005.A,Domestic nonfinancial sectors; consumer credit; asset,A,12-31-1946,12-31-2013
9471,FR793096205.Q,Financial business; trade credits and advances; asset (IMA),Q,12-31-1946,09-30-2014
9472,FA162050005.A,Nonprofit organizations; federal funds and security repurchase agreements; asset,A,12-31-1988,12-31-2000
9473,FA113093005.A,Nonfinancial noncorporate business; unidentified miscellaneous assets,A,12-31-1946,12-31-2013
9474,FL713122605.Q,Monetary authority; checkable deposits due to rest of the world; liability,Q,12-31-1945,09-30-2014
9475,FA316130001.Q,Federal government; interest paid (IMA),Q,12-31-1946,09-30-2014
9476,FU793192281.A,Financial business; reinvested earnings on foreign direct investment in U.S.; paid (IMA),A,12-31-1946,12-31-2013
9477,FU145019005.Q,Nonfinancial business; gross fixed investment,Q,12-31-1946,09-30-2014
9478,FA473065125.Q,Credit unions; home equity loans; asset,Q,03-31-1991,09-30-2014
9479,FA153069803.Q,Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset ,Q,12-31-1946,09-30-2014
9480,FL733040005.A,Holding companies; life insurance reserves; asset,A,12-31-1945,12-31-2013
9481,FR643065505.Q,Real estate investment trusts; commercial mortgages; asset,Q,12-31-1946,09-30-2014
9482,FU263192323.Q,"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. affiliates' claims; liability",Q,03-31-1982,09-30-2014
9483,FA158100005.A,Households and nonprofit organizations; holding gains on assets at current cost,A,12-31-1946,12-31-2013
9484,FL713120005.A,Monetary authority; checkable deposits and currency; liability,A,12-31-1945,12-31-2013
9485,FU633062000.A,Money market mutual funds; municipal securities and loans; asset,A,12-31-1946,12-31-2013
9486,FA313093003.A,Federal government; unidentified miscellaneous assets,A,12-31-1946,12-31-2013
9487,FA883030205.Q,All domestic sectors; other deposits including time and savings deposits; asset (IMA),Q,12-31-1946,09-30-2014
9488,FU263194735.A,Rest of the world; net transactions due to holding companies; liability,A,12-31-1946,12-31-2013
9489,FU474190005.A,Credit unions; total liabilities,A,12-31-1946,12-31-2013
9490,FA105000005.Q,Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
9491,FA105000905.A,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy",A,12-31-1946,12-31-2013
9492,FR703068005.Q,Private depository institutions; depository institution loans n.e.c.; asset ,Q,12-31-1946,09-30-2014
9493,FU616000105.Q,Finance companies; gross saving including foreign earnings retained abroad and CCAdj,Q,12-31-1946,09-30-2014
9494,FU885012005.Q,"All domestic sectors; gross fixed investment, residential equipment and structures",Q,12-31-1946,09-30-2014
9495,FU474190005.Q,Credit unions; total liabilities,Q,12-31-1946,09-30-2014
9496,FU104104005.A,Nonfinancial corporate business; credit market instruments; liability,A,12-31-1946,12-31-2013
9497,FA266904195.Q,Rest of the world; income receipts from the U.S. (IMA),Q,12-31-1946,09-30-2014
9498,FA274135123.Q,International banking facilities of U.S.-chartered depository institutions; other borrowed money owed to nonrelated foreign banks; liability,Q,12-31-1946,09-30-2014
9499,FA313140003.A,Federal government; life insurance reserves; liability,A,12-31-1946,12-31-2013
9500,FA883052205.Q,All domestic sectors; life insurance and annuity entitlements; asset (IMA),Q,12-31-1946,09-30-2014
9501,FU153165005.A,Households and nonprofit organizations; total mortgages; liability,A,12-31-1946,12-31-2013
9502,FA343061133.Q,Federal government retirement funds; Treasury securities held by National Railroad Retirement Investment Trust; asset,Q,12-31-1946,09-30-2014
9503,FL583093005.A,Insurance companies and pension funds; unidentified miscellaneous assets,A,12-31-1945,12-31-2013
9504,FA733040005.A,Holding companies; life insurance reserves; asset,A,12-31-1946,12-31-2013
9505,FA503063005.Q,"Funding corporations; corporate and foreign bonds, including financial stabilization programs; asset",Q,12-31-1946,09-30-2014
9506,FL763192605.Q,"U.S.-chartered depository institutions, including IBFs; interbank transactions due to foreign affiliates; liability",Q,12-31-1945,09-30-2014
9507,FL763061803.Q,U.S.-chartered depository institutions; agency issued residential mortgage pass-through securities; asset,Q,12-31-1945,09-30-2014
9508,FL763062000.Q,U.S.-chartered depository institutions; municipal securities and loans; asset,Q,12-31-1945,09-30-2014
9509,FU644104085.Q,Equity real estate investment trusts; credit market instruments; liability,Q,12-31-1946,09-30-2014
9510,FL264022405.Q,"Rest of the world; short-term debt securities, excluding negotiable certificates of deposit; asset ",Q,12-31-1945,09-30-2014
9511,FL143062005.Q,Nonfinancial business; municipal securities and loans; asset,Q,12-31-1945,09-30-2014
9512,FA713130205.A,Monetary authority; Other deposits including time and savings deposits; liabilty (IMA),A,12-31-1946,12-31-2013
9513,FR654041005.A,Mutual funds; short-term loans including repurchase agreements; asset,A,12-31-1946,12-31-2013
9514,FR654090005.A,Mutual funds; total financial assets ,A,12-31-1946,12-31-2013
9515,FA763069175.A,U.S.-chartered depository institutions; open market paper; asset,A,12-31-1946,12-31-2013
9516,FR103092405.A,Nonfinancial corporate business; equity in Fannie Mae; asset ,A,12-31-1946,12-31-2013
9517,FL523181105.A,Insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),A,12-31-1945,12-31-2013
9518,FA893065005.A,All sectors; total mortgages; asset,A,12-31-1946,12-31-2013
9519,FL714100005.Q,Monetary authority; total currency and deposits; liability,Q,12-31-1945,09-30-2014
9520,FR673069505.Q,Issuers of asset-backed securities; securitized nonfinancial business loans; asset,Q,12-31-1946,09-30-2014
9521,FA473063605.Q,Credit unions; mortgage-backed securities and other asset-backed bonds; asset,Q,12-31-1946,09-30-2014
9522,FA153067005.A,Households and nonprofit organizations; security credit; asset,A,12-31-1946,12-31-2013
9523,FL314122005.A,Federal government; debt securities; liability,A,12-31-1945,12-31-2013
9524,FA113096005.A,Nonfinancial noncorporate business; other accounts receivable; asset ,A,12-31-1946,12-31-2013
9525,FU793120005.Q,Financial business; checkable deposits and currency; liability,Q,12-31-1946,09-30-2014
9526,FR503094505.A,Funding corporations; equity investment in own subsidiaries; asset,A,12-31-1946,12-31-2013
9527,FA763061803.Q,U.S.-chartered depository institutions; agency issued residential mortgage pass-through securities; asset,Q,12-31-1946,09-30-2014
9528,FL102100085.A,Nonfinancial corporate business; total liabilities and net worth (IMA),A,12-31-1945,12-31-2013
9529,FA793196005.A,Financial business; other accounts payable; liability (IMA),A,12-31-1946,12-31-2013
9530,FR263092045.A,Rest of the world; foreign direct investment in U.S.; asset (market value),A,12-31-1983,12-31-2013
9531,FR883011105.Q,All domestic sectors; monetary gold and SDRs holdings; asset,Q,12-31-1946,09-30-2014
9532,FU674004005.A,Issuers of asset-backed securities; credit market instruments; asset,A,12-31-1946,12-31-2013
9533,FU896902601.A,All sectors; net value added (IMA),A,12-31-1946,12-31-2013
9534,FU753194503.A,Foreign banking offices in the U.S.; equity investment by funding corporations; liability,A,12-31-1946,12-31-2013
9535,FU154000025.A,Households and nonprofit organizations; total currency and deposits including money market fund shares; asset,A,12-31-1946,12-31-2013
9536,FV212010095.A,"State and local governments, excluding employee retirement funds; nonfinancial assets (does not include land)",A,12-31-1946,12-31-2013
9537,FU146300005.Q,"Nonfinancial business; consumption of fixed capital, equipment, software, and structures, current cost basis",Q,12-31-1946,09-30-2014
9538,FA223065443.Q,State and local government employee defined benefit retirement funds; multifamily residential mortgages; asset,Q,12-31-1946,09-30-2014
9539,FU115440005.Q,Nonfinancial noncorporate business; net capital transfers paid,Q,12-31-1946,09-30-2014
9540,FU784035005.A,Private depository institutions and money market mutual funds; total loans including repurchase agreements; asset,A,12-31-1946,12-31-2013
9541,FA113034003.Q,Nonfinancial noncorporate business; money market mutual fund shares; asset,Q,12-31-1946,09-30-2014
9542,FU796140005.A,"Financial business; net national income/balance of primary incomes, net (IMA)",A,12-31-1946,12-31-2013
9543,FA153076005.A,Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset,A,12-31-1946,12-31-2013
9544,FL733030003.Q,Holding companies; total time and savings deposits; asset,Q,12-31-1945,09-30-2014
9545,FU403164105.Q,Government-sponsored enterprises; corporate equities; liability,Q,12-31-1946,09-30-2014
9546,FU263168475.A,Rest of the world; depository institution loans n.e.c. to foreign banks; liability,A,12-31-1946,12-31-2013
9547,FU844100005.A,"Monetary authority, private depository institutions, and money market mutual funds; total currency and deposits; liability",A,12-31-1946,12-31-2013
9548,FL884194005.A,All domestic sectors; total liabilities and equity,A,12-31-1945,12-31-2013
9549,FA893065153.A,All sectors; home mortgage charge-offs,A,12-31-1946,12-31-2013
9550,FA316121101.A,Federal government; dividends received (IMA),A,12-31-1946,12-31-2013
9551,FU145020005.A,Nonfinancial business; inventories,A,12-31-1946,12-31-2013
9552,FA883034005.A,All domestic sectors; money market mutual fund shares; asset,A,12-31-1946,12-31-2013
9553,FR703069005.Q,Private depository institutions; other loans and advances; asset,Q,12-31-1946,09-30-2014
9554,FU617005005.Q,Finance companies; sector discrepancy,Q,12-31-1946,09-30-2014
9555,FU885013005.Q,"All domestic sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products",Q,12-31-1946,09-30-2014
9556,FR103093005.A,Nonfinancial corporate business; unidentified miscellaneous assets,A,12-31-1946,12-31-2013
9557,FL523181115.A,Insurance companies; other equity; liability (IMA),A,12-31-1945,12-31-2013
9558,FA893065105.A,All sectors; home mortgages; asset,A,12-31-1946,12-31-2013
9559,FA583152025.A,Insurance companies and pension funds; retirement entitlements; liability (IMA),A,12-31-1946,12-31-2013
9560,FL733040005.Q,Holding companies; life insurance reserves; asset,Q,12-31-1945,09-30-2014
9561,FU472050050.A,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions (net of liabilities before 2002:Q4); asset,A,12-31-1946,12-31-2013
9562,FU263168485.A,Rest of the world; depository institution loans n.e.c. to foreigners other than foreign official institutions and foreign banks; liability,A,12-31-1946,12-31-2013
9563,FU513178003.Q,Property-casualty insurance companies; taxes payable (net); liability,Q,12-31-1946,09-30-2014
9564,FU844141005.A,"Monetary authority, private depository institutions, and money market mutual funds; short-term loans including security repurchase agreements; liability",A,12-31-1946,12-31-2013
9565,FA732150003.A,Holding companies; security repurchase agreements; liability,A,12-31-1946,12-31-2013
9566,FR543093005.Q,Life insurance companies; unidentified miscellaneous assets,Q,12-31-1946,09-30-2014
9567,FL153166205.A,Households and nonprofit organizations; non-revolving consumer credit; liability ,A,12-31-1945,12-31-2013
9568,FL153166220.A,Households and nonprofit organizations; student loans; liability ,A,12-31-1945,12-31-2013
9569,FL263020005.A,Rest of the world; U.S. checkable deposits and currency; asset,A,12-31-1945,12-31-2013
9570,FR613194003.Q,Finance companies; investment by parent companies; liability,Q,12-31-1946,09-30-2014
9571,FR206901001.A,State and local governments; consumption expenditures,A,12-31-1949,12-31-1951
9572,FR212010095.A,"State and local governments, excluding employee retirement funds; nonfinancial assets (does not include land)",A,12-31-1946,12-31-2013
9573,FR115013665.A,"Nonfinancial noncorporate business; nonresidential structures, current cost basis",A,12-31-1946,12-31-2013
9574,FL113070003.A,Nonfinancial noncorporate business; trade receivables; asset,A,12-31-1945,12-31-2013
9575,FL113090005.Q,Nonfinancial noncorporate business; total miscellaneous assets,Q,12-31-1945,09-30-2014
9576,FR573064255.A,"Private defined contribution pension funds, including 403(b) plans; mutual fund shares; asset",A,12-31-1946,12-31-2013
9577,FA893167005.Q,All sectors; security credit; liability,Q,12-31-1946,09-30-2014
9578,FA893169005.Q,All sectors; other loans and advances; liability,Q,12-31-1946,09-30-2014
9579,FA733030003.A,Holding companies; total time and savings deposits; asset,A,12-31-1946,12-31-2013
9580,FU573093055.A,"Private defined contribution pension funds, including 403(b) plans; unidentified miscellaneous assets",A,12-31-1946,12-31-2013
9581,FU884022405.Q,All domestic sectors; short-term debt securities; asset,Q,12-31-1946,09-30-2014
9582,FU895404005.Q,All sectors; disaster losses ,Q,12-31-1946,09-30-2014
9583,FL753069603.A,Foreign banking offices in the U.S.; bankers' acceptances; asset,A,12-31-1945,12-31-2013
9584,FA213065103.A,"State and local governments, excluding employee retirement funds; home mortgages; asset",A,12-31-1946,12-31-2013
9585,FA153063005.Q,Households and nonprofit organizations; corporate and foreign bonds; asset,Q,12-31-1946,09-30-2014
9586,FR573064175.A,Private defined contribution pension funds; corporate equities held directly and indirectly through mutual funds; asset,A,12-31-1946,12-31-2013
9587,FR543140005.A,Life insurance companies; life insurance reserves; liability,A,12-31-1946,12-31-2013
9588,FA796121001.A,Financial business; dividends paid (IMA),A,12-31-1946,12-31-2013
9589,FU103093005.A,Nonfinancial corporate business; unidentified miscellaneous assets,A,12-31-1946,12-31-2013
9590,FU523081005.Q,Insurance companies; equity and investment fund shares; asset (IMA),Q,12-31-1946,09-30-2014
9591,FR212050003.Q,"State and local governments, excluding employee retirement funds; federal funds and security repurchase agreements; asset",Q,12-31-1946,09-30-2014
9592,FA154190005.A,Households and nonprofit organizations; total liabilities,A,12-31-1946,12-31-2013
9593,FA214022005.A,"State and local governments, excluding employee retirement funds; debt securities; asset",A,12-31-1946,12-31-2013
9594,FL883081105.Q,All domestic sectors; equity and investment fund shares excluding mutual fund shares and money market fund shares; asset (IMA),Q,12-31-1945,09-30-2014
9595,FA096060025.Q,Corporate business; corporate profits before tax with IVA excluding CCAdj,Q,12-31-1946,09-30-2014
9596,FA096060035.Q,Corporate business; corporate profits before tax including IVA and CCAdj,Q,12-31-1946,09-30-2014
9597,FU175012005.A,"Personal sector; gross fixed investment, residential equipment and structures",A,12-31-1946,12-31-2013
9598,FA644141005.Q,Real estate investment trusts; short-term loans including security repurchase agreements; liability,Q,12-31-1946,09-30-2014
9599,FA206150195.Q,State and local governments; property income (received) (IMA) ,Q,12-31-1946,09-30-2014
9600,FA573063043.Q,Private defined benefit pension funds; corporate and foreign bonds; asset,Q,12-31-1946,09-30-2014
9601,FL704194005.A,Private depository institutions; total liabilities and equity,A,12-31-1945,12-31-2013
9602,FA315050905.A,"Federal government; capital formation, net (IMA)",A,12-31-1946,12-31-2013
9603,FA843081005.Q,"Monetary authority, private depository institutions, and money market mutual funds; equity and investment fund shares; asset (IMA)",Q,12-31-1946,09-30-2014
9604,FU704022605.A,Private depository institutions; long-term debt securities; asset,A,12-31-1946,12-31-2013
9605,FU704035005.A,Private depository institutions; total loans including security repurchase agreements; asset,A,12-31-1946,12-31-2013
9606,FL713120205.A,Monetary authority; Currency including checkable deposits; liability (IMA),A,12-31-1945,12-31-2013
9607,FA316130101.A,Federal government; interest received (IMA) ,A,12-31-1946,12-31-2013
9608,FA313093003.Q,Federal government; unidentified miscellaneous assets,Q,12-31-1946,09-30-2014
9609,FU263169105.Q,Rest of the world; commercial paper; liability,Q,12-31-1946,09-30-2014
9610,FU263169110.A,Rest of the world; commercial paper issued by nonfinancial firms; liability,A,12-31-1946,12-31-2013
9611,FR703081005.A,Private depository institutions; equity and investment fund shares; asset (IMA),A,12-31-1946,12-31-2013
9612,FU474110005.A,Credit unions; net interbank transactions; liability,A,12-31-1946,12-31-2013
9613,FA266905095.A,Rest of the world; foreign income from U.S. (IMA),A,12-31-1946,12-31-2013
9614,FU884022005.A,All domestic sectors; debt securities; asset,A,12-31-1946,12-31-2013
9615,FL313091105.Q,Federal government; nonofficial foreign currencies; asset,Q,12-31-1945,09-30-2014
9616,FA343061723.Q,Federal government retirement funds; agency- and GSE-backed securities held by Thrift Savings Plan; asset,Q,12-31-1946,09-30-2014
9617,FA343061733.A,Federal government retirement funds; agency- and GSE-backed securities held by National Railroad Retirement Investment Trust; asset,A,12-31-1946,12-31-2013
9618,FU263169005.A,Rest of the world; other loans and advances; liability,A,12-31-1946,12-31-2013
9619,FU263169123.Q,Rest of the world; commercial paper issued by financial firms; liability,Q,12-31-1946,09-30-2014
9620,FU474012205.Q,Credit unions; interbank transactions due from U.S. depository institutions; asset,Q,12-31-1946,09-30-2014
9621,FU883196205.Q,All domestic sectors; trade credits and advances; liability (IMA),Q,12-31-1946,09-30-2014
9622,FL313081115.Q,Federal government; other equity; asset (IMA),Q,12-31-1945,09-30-2014
9623,FA343061705.A,Federal government retirement funds; agency- and GSE-backed securities; asset,A,12-31-1946,12-31-2013
9624,FU103081005.Q,Nonfinancial corporate business; equity and investment fund shares; asset ,Q,12-31-1946,09-30-2014
9625,FR403069105.A,Government-sponsored enterprises; commercial paper; asset,A,12-31-1946,12-31-2013
9626,FL315000005.Q,Federal government; net lending (+) or borrowing (-) (financial account),Q,12-31-1945,09-30-2014
